SEQ,common_name,scientific_name,merged_SEQ,ADU,avibase_id,avibase_id_source,avilist_common_name,avilist_scientific_name,avilist_sort,avilist_members,ebird_code,family,order,iucn,birdlife_url,n_avilist_species,endemic,afrotropical,palearctic,waterbird,mass,habitat,habitat_density,migration,trophic_level,trophic_niche,primary_lifestyle,range_size,flag,comment
26,Dwarf Bittern,Ixobrychus sturmii,,66,avibase-87EEBD3E,ebird_single,Dwarf Bittern,Botaurus sturmii,5285,Botaurus sturmii,dwabit1,"Herons, Egrets, and Bitterns",Pelecaniformes,LC,https://datazone.birdlife.org/species/factsheet/22697327,1,false,false,false,true,140,Wetland,1,1,Carnivore,Aquatic predator,Terrestrial,12872490.53,,
27,Little Bittern,Ixobrychus minutus,,67,avibase-7AAD57AC,ebird_single,Little Bittern,Botaurus minutus,5286,Botaurus minutus,litbit1,"Herons, Egrets, and Bitterns",Pelecaniformes,LC,https://datazone.birdlife.org/species/factsheet/22735766,1,false,false,false,true,99.5,Wetland,1,3,Carnivore,Aquatic predator,Terrestrial,27683039.02,,
28,White-backed Night Heron,Gorsachius leuconotus,,70,avibase-3C12AA44,ebird_single,White-backed Night Heron,Calherodius leuconotus,5297,Calherodius leuconotus,wbnher1,"Herons, Egrets, and Bitterns",Pelecaniformes,LC,https://datazone.birdlife.org/species/factsheet/22697226,1,false,false,false,true,440,Wetland,2,2,Carnivore,Aquatic predator,Terrestrial,7860889.3,,
29,Night Heron,Nycticorax nycticorax,,69,avibase-6BB94D7E,ebird_single,Black-crowned Night Heron,Nycticorax nycticorax,5341,Nycticorax nycticorax,bcnher,"Herons, Egrets, and Bitterns",Pelecaniformes,LC,https://datazone.birdlife.org/species/factsheet/22697211,1,false,false,false,true,810,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,50345275.03,,
30,Cattle Egret,Bubulcus ibis,,61,avibase-AB1CB216,ebird_single,Western Cattle Egret,Ardea ibis,5407,Ardea ibis,categr1,"Herons, Egrets, and Bitterns",Pelecaniformes,NE,,1,false,false,false,true,366,Human Modified,3,2,Carnivore,Omnivore,Terrestrial,62451101.72,,
31,Squacco Heron,Ardeola ralloides,,62,avibase-CE73EBD7,ebird_single,Squacco Heron,Ardeola ralloides,5395,Ardeola ralloides,squher1,"Herons, Egrets, and Bitterns",Pelecaniformes,LC,https://datazone.birdlife.org/species/factsheet/22697123,1,false,false,false,true,287,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,20358790,,
32,Madagascar Squacco Heron,Ardeola idae,,883,avibase-EA2C460A,ebird_single,Malagasy Pond Heron,Ardeola idae,5396,Ardeola idae,mapher1,"Herons, Egrets, and Bitterns",Pelecaniformes,EN,https://datazone.birdlife.org/species/factsheet/22697143,1,false,false,false,true,253,Wetland,3,1,Carnivore,Aquatic predator,Terrestrial,551800.88,This species is prone to misidentification and its maps might be affected by error.,
33,Rufous-bellied Heron,Ardeola rufiventris,,65,avibase-AEB2DA9B,ebird_single,Rufous-bellied Heron,Ardeola rufiventris,5394,Ardeola rufiventris,rubher2,"Herons, Egrets, and Bitterns",Pelecaniformes,LC,https://datazone.birdlife.org/species/factsheet/22697150,1,false,false,false,true,201.5,Wetland,3,1,Carnivore,Aquatic predator,Terrestrial,5546086.48,,
34,Green-backed Heron,Butorides striatus,,63,avibase-67ADD2E3,ebird_single,Striated Heron,Butorides striata,5379,Butorides striata,strher2,"Herons, Egrets, and Bitterns",Pelecaniformes,NE,,1,false,false,false,true,201.5,Wetland,3,1,Carnivore,Aquatic predator,Terrestrial,53556698.29,,
35,Little Egret,Egretta garzetta,,59,avibase-F2858F9F,ebird_single,Little Egret,Egretta garzetta,5328,Egretta garzetta,litegr,"Herons, Egrets, and Bitterns",Pelecaniformes,NE,,1,false,false,false,true,312,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,34141787.35,,
