Column4,common_name,scientific_name,Column1,category,Column2,Column3
170,Red-sided Broadbill,Smitomis rufolateralis,,FF,#N/A,#N/A
171,African Green Broadbill,Pseudocalyptomena graueri,,FF,#N/A,#N/A
173,Green-breasted Pitta,Pitta reichenowi,,FF,#N/A,#N/A
174,White-throated Blue Swallow,Hirundo nigrita,,FF,#N/A,#N/A
181,Cameroon Sombre Greenbul,Andropadus curvirostris,,FF,#N/A,#N/A
183,Ansorge 's Greenbul,Andropadus ansorgei,,FF,#N/A,#N/A
192,Sassi's Olive Greenbul,Phyllastrephus Lorenzi,,FF,#N/A,#N/A
197,White-throated Greenbul,Phyllastrephus albigularis     ,,FF,#N/A,#N/A
198,lcterine Greenbul,Phyllastrephus icterinus         ,,FF,#N/A,#N/A
199,Xavier's Greenbul,Phyllastrephus xavieri,,FF,#N/A,#N/A
202,Leaflove,Pyrrhurus scandens  ,,F,#N/A,#N/A
203,Swamp Greenbul,Thescelocichla leucopleura ,,F,#N/A,#N/A
205,Spotted Greenbul,Ixonotus guttatus,,FF,#N/A,#N/A
208,Simple Greenbul,Chlorocichla simplex,,F,#N/A,#N/A
209,Yellow-throated Leaflove,Chlorocichla  flavicollis,,f,#N/A,#N/A
212,Green-tailed  Bristlebill,Bleda eximia,,FF,#N/A,#N/A
213,Eastern Bearded Greenbul,Criniger chloronotus,,FF,#N/A,#N/A
214,Red-tailed Greenbul,Criniger calurus,,FF,#N/A,#N/A
215,Western Nicator,Nicator chloris,,F,#N/A,#N/A
217,Yellow-throated Nicator,Nicator vireo,,FF,#N/A,#N/A
219,Capuchin Babbler,Phyllanthus atripennis,,FF,#N/A,#N/A
225,Puvel' s Illadopsis,Illadopsis puveli,,FF,#N/A,#N/A
226,White-starred  Robin,Pogonocichla  stellata,Pogonocichla stellata (race macarthuri),F,Pogonocichla stellata (race macarthuri),#N/A
227,Forest Robin,Stiphromis erythrothorax,,FF,#N/A,#N/A
228,Lowland Akalat,Sheppardia cyomithopsis,,FF,#N/A,#N/A
232,Archer's Robin-Chat,Cossypha archeri,,F,#N/A,#N/A
239,White-bellied  Robin Chat,Cossyphicula  roberti,,FF,#N/A,#N/A
240,Fire-crested  Alethe,Alethe diademata,,FF,#N/A,#N/A
241,Red-throated Alethe,Alethe poliophrys,,FF,#N/A,#N/A
242,Brown-chested  Alethe,Alethe poliocephala,Chaemaetylas poliocephala (race akeleyae),FF,Chaemaetylas poliocephala (race akeleyae),#N/A
247,Northern Bearded Scrub Robin,Cercotrichas leucosticta,,FF,#N/A,#N/A
248,Rufous Thrush Robin,Stizorhina fraseri,,FF,#N/A,#N/A
249,Olive Thrush,Turdus olivaceus,Turdus abyssinicus,F,Turdus abyssinicus,#N/A
253,Black-eared  Ground Thrush,Zoothera cameronensis,,FF,#N/A,#N/A
254,Grey Ground Thrush,Zoothera princei,,FF,#N/A,#N/A
257,Kivu Ground Thrush,Zoothera tanganjicae,,FF,#N/A,#N/A
258,Forest Ground Thrush,Zoothera oberlaenderi,,FF,#N/A,#N/A
260,Chapin's Flycatcher,Muscicapa lendu,,FF,#N/A,#N/A
261,Cassin's Grey Flycatcher,Muscicapa cassini,,F,#N/A,#N/A
262,Yellow-footed  Flycatcher,Muscicapa sethsmithi,,FF,#N/A,#N/A
264,Dusky Blue Flycatcher,Muscicapa comitata,,F,#N/A,#N/A
265,Sooty Flycatcher,Muscicapa fuliginosa,,FF,#N/A,#N/A
267,Yellow-eyed Black Flycatcher,Melaenornis ardesiaca,,F,#N/A,#N/A
268,Forest Flycatcher,Fraseria ocreata,,F,#N/A,#N/A
