Ref,Common_group,Common_species,Genus,Species,fp,fpn,fp_last,ad,adn,ad_last
720,Bushshrike,Black-fronted,Chlorophoneus,nigrifrons,0.7098,75,2022-07-02,0.1043,24,2022-06-27
2498,Bushshrike,Bocage's,Chlorophoneus,bocagei,0.0852,9,2017-10-07,0.0043,1,2016-10-02
2500,Bushshrike,Doherty's,Telophorus,dohertyi,0.1420,15,2022-07-20,0.0261,6,2021-02-06
721,Bushshrike,Gorgeous,Telophorus,viridis,0.8990,95,2022-07-02,0.2868,66,2022-08-21
723,Bushshrike,Grey-headed,Malaconotus,blanchoti,11.2425,1188,2022-11-05,2.1383,492,2022-11-03
2436,Bushshrike,Lühder's,Laniarius,luehderi,0.8801,93,2022-11-08,0.1260,29,2021-11-21
719,Bushshrike,Orange-breasted,Chlorophoneus,sulfureopectus,10.7694,1138,2022-11-04,1.1170,257,2022-11-03
2440,Bushshrike,Red-naped,Laniarius,ruficeps,0.1325,14,2022-09-26,0.1000,23,2022-10-07
2490,Bushshrike,Rosy-patched,Telophorus,cruentus,5.6591,598,2022-11-03,1.5211,350,2022-10-09
1894,Bustard,Arabian,Ardeotis,arabs,0.0284,3,2022-05-06,0.0000,0,-
227,Bustard,Black-bellied,Lissotis,melanogaster,2.1577,228,2022-11-05,0.6867,158,2022-10-27
1900,Bustard,Buff-crested,Lophotis,gindiana,3.7097,392,2022-10-11,1.3299,306,2022-10-25
219,Bustard,Denham's,Neotis,denhami,0.0473,5,2022-05-06,0.0130,3,2019-02-14
1906,Bustard,Hartlaub's,Lissotis,hartlaubii,0.9653,102,2022-10-27,0.2303,53,2022-10-27
1910,Bustard,Heuglin's,Neotis,heuglinii,0.0852,9,2021-08-04,0.0435,10,2022-10-09
217,Bustard,Kori,Ardeotis,kori,4.8263,510,2022-10-28,1.4820,341,2022-10-24
222,Bustard,White-bellied,Eupodotis,senegalensis,5.4982,581,2022-11-03,1.3690,315,2022-10-15
196,Buttonquail,Common,Turnix,sylvaticus,0.4353,46,2022-04-26,0.0869,20,2022-06-14
153,Buzzard,Augur,Buteo,augur,23.1949,2451,2022-11-09,5.7847,1331,2022-11-11
154,Buzzard,Common,Buteo,buteo,5.0251,531,2022-11-04,0.9561,220,2022-11-05
2140,Buzzard,"Crested Honey",Pernis,ptilorhynchus,0.0095,1,2021-02-01,0.0000,0,-
2100,Buzzard,Grasshopper,Butastur,rufipennis,0.1609,17,2022-03-10,0.1912,44,2022-05-02
144,Buzzard,Lizard,Kaupifalco,monogrammicus,6.8042,719,2022-10-30,1.5298,352,2022-10-08
979,Buzzard,Long-legged,Buteo,rufinus,0.0095,1,2016-02-28,0.0087,2,2022-09-04
2112,Buzzard,Mountain,Buteo,oreophilus,1.2302,130,2022-11-05,0.4085,94,2022-10-17
627,Camaroptera,Green-backed,Camaroptera,brachyura,7.9871,844,2022-11-05,1.7689,407,2022-10-21
