SEQ,common_name,scientific_name,merged_SEQ,ADU,avibaseID,flag,comment
114,Gabar Goshawk,Melierax gabar,,162,avibase-922DE9C1,,
115,Lizard Buzzard,Kaupifalco monogrammicus,,144,avibase-3EEB66ED,,
116,Mountain Buzzard,Buteo tachardus,,2112,avibase-5BFEFD9A,,
117,Common Buzzard,Buteo buteo,,154,avibase-3C0C325D,,
118,Long-legged Buzzard,Buteo rufinus,,979,avibase-CC65921F,This species is prone to misidentification and its maps might be affected by error.,
119,Augur Buzzard,Buteo augur,,153,avibase-EBDC03AA,,
120,Grasshopper Buzzard,Butastur rufipennis,,2100,avibase-45A1D850,,
121,Long-crested Eagle,Lophaetus occipitalis,,138,avibase-14B9664A,,
122,Crowned Eagle,Stephanoaetus coronatus,,143,avibase-1E3B3515,,
123,Martial Eagle,Polemaetus bellicosus,,142,avibase-FDA2E4A3,,
124,Booted Eagle,Hieraaetus pennatus,,139,avibase-4B8CC285,,
125,African Hawk Eagle,Hieraaetus spilogaster,,141,avibase-9A418C45,,
126,Ayres's Hawk Eagle,Hieraaetus dubius,,140,avibase-7DF00403,,
127,Lesser Spotted Eagle,Aquila pomarina,,136,avibase-C2565B65,This species is prone to misidentification and its maps might be affected by error.,
128,Greater Spotted Eagle,Aquila clanga,,1098,avibase-BAC4CA22,This species is prone to misidentification and its maps might be affected by error.,
129,Tawny Eagle,Aquila rapax,,134,avibase-F6D547B2,,
130,Steppe Eagle,Aquila nipalensis,,135,avibase-A635F565,,
131,Imperial Eagle,Aquila heliaca,,2096,avibase-469DCF57,This species is prone to misidentification and its maps might be affected by error.,
132,Verreaux's Eagle,Aquila verreauxii,,133,avibase-14F13C32,,
133,Wahlberg's Eagle,Aquila wahlbergi,,137,avibase-535F3C99,,
134,African Fish Eagle,Haliaeetus vocifer,,149,avibase-A19B0CF4,,
135,Black Kite,Milvus migrans,,128,avibase-06D9A2C8,,
136,Cuckoo Hawk,Aviceda cuculoides,,127,avibase-648936C0,,
137,Honey Buzzard,Pernis apivorus,,132,avibase-ED5A7E8F,,
138,Bat Hawk,Macheiramphus alcinus,,131,avibase-DAE4C523,,
139,Black-shouldered Kite,Elanus caeruleus,,130,avibase-97C47F3E,,
140,Swallow-tailed Kite,Chelictinia riocourii,,2114,avibase-22832FF4,,
141,Osprey,Pandion haliaetus,,172,avibase-1327AC55,,
142,Pygmy Falcon,Polihierax semitorquatus,,126,avibase-3B52D2B8,,
143,Peregrine Falcon,Falco peregrinus,,113,avibase-47E58408,Records in the old atlas of Peregrine Falcon and Barbary Falcon are lumped.,
144,Barbary Falcon,Falco pelegrinoides,143,2148,avibase-A113792C,,"Folded into SEQ 143 Peregrine Falcon. Taxonomic: AviList v2025b treats Falco pelegrinoides as a subspecies of F. peregrinus, so the two are not separable in either dataset. No 1970-1984 records in any case."
145,Taita Falcon,Falco fasciinucha,,887,avibase-9A4AA945,,
146,Lanner Falcon,Falco biarmicus,,114,avibase-3D3808E3,,
147,Saker Falcon,Falco cherrug,,2154,avibase-A9F51494,,
148,Red-necked Falcon,Falco chicquera,,117,avibase-6A64EFCB,,
149,Red-footed Falcon,Falco vespertinus,,120,avibase-997A9437,,
150,Eastern Red-footed Falcon,Falco amurensis,,119,avibase-E6137E65,,
151,African Hobby,Falco cuvieri,,116,avibase-F56A73BF,,
152,Hobby,Falco subbuteo,,115,avibase-E91E287A,,
153,Grey Kestrel,Falco ardosiaceus,,889,avibase-3F2BA4F7,,
154,Dickinson's Kestrel,Falco dickinsoni,,121,avibase-CA34C05A,,
155,Eleonora's Falcon,Falco eleonorae,,992,avibase-9EA1F12D,,
156,Sooty Falcon,Falco concolor,,888,avibase-BD34FDFD,,
157,Fox Kestrel,Falco alopex,,2152,avibase-D2CAA18B,,
158,Greater Kestrel,Falco rupicoloides,,122,avibase-2E4DAA13,This species is prone to misidentification and its maps might be affected by error.,
159,Common Kestrel,Falco tinnunculus,,2162,avibase-2DAB45B8,,
160,Lesser Kestrel,Falco naumanni,,125,avibase-BECA271F,,
161,Scaly Francolin,Francolinus squamatus,,1246,avibase-1B11690B,,
162,Jackson's Francolin,Francolinus jacksoni,,1234,avibase-A7E59764,,
163,Chestnut-naped Francolin,Francolinus castaneicollis,,1222,avibase-81474844,,
164,Yellow-necked Spurfowl,Francolinus leucoscepus,,1236,avibase-90AFDF9E,,
165,Red-necked Spurfowl,Francolinus afer,,188,avibase-5FA94F66,,
166,Hildebrandt's Francolin,Francolinus hildebrandti,,954,avibase-F5A73AAA,,"CJ: Yes, my impression has been that the species has spread."
167,Crested Francolin,Francolinus sephaena,,174,avibase-8004C7E5,,
168,Ring-necked Francolin,Francolinus streptophorus,,1256,avibase-5B115F6C,This map might contains errors,
169,Red-winged Francolin,Francolinus levaillantii,,178,avibase-B49935ED,,
170,Shelley's Francolin,Francolinus shelleyi,,177,avibase-A15F6836,,
171,Moorland Francolin,Francolinus psilolaemus,,0,avibase-3D25568A,,
172,Coqui Francolin,Francolinus coqui,,173,avibase-ECD7C1D8,,
173,Quail,Coturnix coturnix,,189,avibase-CAFE345D,This species is prone to misidentification and its maps might be affected by error.,
174,Harlequin Quail,Coturnix delegorguei,,190,avibase-0CA903BB,,CJ: VERY interesting that there is such a decline in this spp. It is surely not one that would be missed / wrongly ID'd? 
175,Blue Quail,Coturnix chinensis,,191,avibase-CAA45AC6,,CJ: The percentage increase / decrease for these rare species don't really make sense - they appear more dramatic than they probably are. Blue Quail has been very rare for a long time…
176,Stone Partridge,Ptilopachus petrosus,,1250,avibase-57B05159,,
177,Vulturine Guineafowl,Acryllium vulturinum,,1260,avibase-F7A3FA35,This map might contains errors,CJ: Why the comment about errors? It's surely an easily identified species?? 
178,Kenya Crested Guineafowl,Guttera pucherani,,0,avibase-9D29C252,,
