SEQ,common_name,scientific_name,ADU,avibase_id,avilist_common_name,avilist_scientific_name,avilist_sort,avilist_members,ebird_code,checklist_family,order,birdlife_url,n_avilist_species,endemic,afrotropical,palearctic,waterbird,mass,habitat,habitat_density,migration,trophic_level,trophic_niche,primary_lifestyle,range_size,flag,comment,IUCN,old,new,lost,kept,gain,lost_score,gain_score
57,African Spoonbill,Platalea alba,85,avibase-F86BB1D3,African Spoonbill,Platalea alba,5198,Platalea alba,afrspo1,"Ibises and Spoonbills",Pelecaniformes,https://datazone.birdlife.org/species/factsheet/22697564,1,0,0,0,1,1521,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,14157612.5,,,Least Concern,61,74,10,51,23,10.0610364481822,22.3888061661503
58,Eurasian Spoonbill,Platalea leucorodia,2210,avibase-A0A584C1,Eurasian Spoonbill,Platalea leucorodia,5199,Platalea leucorodia,eurspo1,"Ibises and Spoonbills",Pelecaniformes,https://datazone.birdlife.org/species/factsheet/22697555,1,0,0,0,1,1868,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,6276598.58,"This species is prone to misidentification and its maps might be affected by error.",,Least Concern,2,1,1,1,0,0.96432365744423,0
59,Greater Flamingo,Phoenicopterus ruber,86,avibase-0F9B5174,Greater Flamingo,Phoenicopterus roseus,1622,Phoenicopterus roseus,grefla3,"Flamingos",Phoenicopteriformes,https://datazone.birdlife.org/species/factsheet/22697360,1,0,0,0,1,3031.6,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,5093092.47,,,Least Concern,17,28,3,14,14,2.96709951759584,13.4729694327237
60,Lesser Flamingo,Phoeniconaias minor,87,avibase-B06A9079,Lesser Flamingo,Phoeniconaias minor,1616,Phoeniconaias minor,lesfla1,"Flamingos",Phoenicopteriformes,https://datazone.birdlife.org/species/factsheet/22697369,1,0,0,0,1,1500,Wetland,3,1,Herbivore,Herbivore aquatic,Terrestrial,248234.51,,"CJ: Yes, the coastal increase certainly seems real. The literature was clear that LF were v rare on the coast. ",Near Threatened,18,31,5,13,18,4.910943463673,17.2951989461653
61,Fulvous Whistling Duck,Dendrocygna bicolor,101,avibase-9A60617E,Fulvous Whistling Duck,Dendrocygna bicolor,253,Dendrocygna bicolor,fuwduc,"Ducks, Swans, and Geese",Anseriformes,https://datazone.birdlife.org/species/factsheet/22679746,1,0,0,0,1,756.4,Wetland,3,2,Herbivore,Omnivore,Terrestrial,18668766.17,,,Least Concern,32,36,10,22,14,9.87587661008931,13.3434828500079
62,White-faced Whistling Duck,Dendrocygna viduata,100,avibase-A534AFEA,White-faced Whistling Duck,Dendrocygna viduata,248,Dendrocygna viduata,wfwduc1,"Ducks, Swans, and Geese",Anseriformes,https://datazone.birdlife.org/species/factsheet/22679763,1,0,0,0,1,690,Wetland,3,2,Herbivore,Herbivore aquatic,Aquatic,27415311.66,,,Least Concern,46,71,7,39,32,7.0154973641834,30.8813608058342
64,Egyptian Goose,Alopochen aegyptiacus,89,avibase-DA2F24E3,Egyptian Goose,Alopochen aegyptiaca,384,Alopochen aegyptiaca,egygoo,"Ducks, Swans, and Geese",Anseriformes,https://datazone.birdlife.org/species/factsheet/22679993,1,0,0,0,1,1873,Wetland,3,2,Herbivore,Omnivore,Generalist,17452607.3,,,Least Concern,79,95,6,73,22,6.0102886816986,21.3223593227096
65,Spur-winged Goose,Plectopterus gambensis,88,avibase-EB01B24C,Spur-winged Goose,Plectropterus gambensis,285,Plectropterus gambensis,spwgoo1,"Ducks, Swans, and Geese",Anseriformes,https://datazone.birdlife.org/species/factsheet/22680057,1,0,0,0,1,3869,Wetland,3,3,Herbivore,Omnivore,Terrestrial,15772780.82,,,Least Concern,35,51,7,28,23,7.02627080368513,21.9307052456138
66,Knob-billed Duck,Sarkidiornis melanotos,91,avibase-3948131B,Knob-billed Duck,Sarkidiornis melanotos,439,Sarkidiornis melanotos,comduc2,"Ducks, Swans, and Geese",Anseriformes,https://datazone.birdlife.org/species/factsheet/45953631,1,0,0,0,1,2610,Wetland,3,1,Herbivore,Herbivore aquatic,Generalist,18695511.28,,,Least Concern,63,68,13,50,18,12.9632050377879,17.2685232631814
67,African Pygmy Goose,Nettapus auritus,92,avibase-EC7C1618,African Pygmy Goose,Nettapus auritus,268,Nettapus auritus,afrpyg1,"Ducks, Swans, and Geese",Anseriformes,https://datazone.birdlife.org/species/factsheet/22680095,1,0,0,0,1,266,Wetland,3,1,Omnivore,Herbivore aquatic,Aquatic,17754493.4,,,Least Concern,14,10,8,6,4,7.83129462620848,3.79700886422467
68,African Black Duck,Anas sparsa,95,avibase-1EAFAD9F,African Black Duck,Anas sparsa,527,Anas sparsa,afbduc1,"Ducks, Swans, and Geese",Anseriformes,https://datazone.birdlife.org/species/factsheet/22680170,1,0,0,0,1,981.5,Wetland,3,1,Omnivore,Omnivore,Aquatic,9213622.59,,,Least Concern,25,27,5,20,7,4.94064711483822,6.78798872090178
