Ref,SEQ,Common name,Scientific name,z1,z2,z3,z4,z5,z6,QDGCs,,,,, 
646,742,Levaillant's Cisticola,Cisticola tinniens,9.2,9.6,18.7,18.1,14.9,29.6,1113,,,,,
644,736,Red-faced Cisticola,Cisticola erythrops,8,12.8,23,13.9,13.4,28.9,187,,,,,
642,727,Rattling Cisticola,Cisticola chiniana,6.4,8.3,10.2,18.3,19.5,37.4,519,,,,,
641,,Tinkling Cisticola,Cisticola rufilatus,1.6,11.3,24.2,32.3,21,9.7,62,,,,,
639,724,Wailing Cisticola,Cisticola lais,7.7,13.4,21.8,17.9,20.6,18.6,441,,,,,
638,,Grey-backed Cisticola,Cisticola subruficapilla,4.3,7.1,14.1,21.9,22.4,30.2,580,,,,,
637,,Neddicky Neddicky,Cisticola fulvicapilla,7.3,7.8,13.4,18.8,17.7,35,1227,,,,,
635,,Pale-crowned Cisticola,Cisticola cinnamomeus,3,7.2,18,20.4,24,27.5,167,,,,,
634,717,Wing-snapping Cisticola,Cisticola ayresii,5.5,10.1,21.1,18.4,16.9,28.1,474,,,,,
631,,Cloud Cisticola,Cisticola textrix,2.8,11.5,19.9,19.4,16.7,29.7,687,,,,,
630,720,Desert Cisticola,Cisticola aridulus,5.3,9.7,19.6,19,22.5,23.8,730,,,,,
629,719,Zitting Cisticola,Cisticola juncidis,6.6,10.9,15.6,18.5,17.3,31.1,1203,,,,,
627,760,Green-backed Camaroptera,Camaroptera brachyura,15.5,13.1,16.1,14.7,11.6,29.1,498,,,,,
626,,Karoo Eremomela,Eremomela gregalis,7.9,18.8,27.3,23,15.1,7.9,165,,,,,
625,750,Yellow-breasted Apalis,Apalis flavida,8,8.6,19.1,14,20.1,30.3,314,,,,,
622,753,Bar-throated Apalis,Apalis thoracica,7.2,7.8,15.8,19.2,19.2,30.8,792,,,,,
621,,Long-billed Crombec,Sylvietta rufescens,8.9,12.8,21.3,20.1,18.5,18.5,1176,,,,,
619,,Rufous-eared Warbler,Malcorus pectoralis,5.8,13.9,20.6,19.5,20.8,19.4,568,,,,,
618,,Cape Grassbird,Sphenoeacus afer,10.8,8.1,19.2,19.8,16.1,26,582,,,,,
616,686,Broad-tailed Warbler,Schoenicola brevirostris,4.6,12.3,30,17.7,26.9,8.5,130,,,,,
615,,Stierling's Wren-Warbler,Calamonastes stierlingi,16.9,9.9,12.7,18.3,22.5,19.7,71,,,,,
614,,Barred Wren-Warbler,Calamonastes fasciolatus,10.4,13.4,20.9,21.4,17.9,15.9,201,,,,,
613,,Cinnamon-breasted Warbler,Euryptila subcinnamomea,4.4,22.1,33.8,20.6,13.2,5.9,68,,,,,
612,,Victorin's Warbler,Cryptillas victorini,14.3,11.9,14.3,23.8,17.9,17.9,84,,,,,
611,,Knysna Warbler,Bradypterus sylvaticus,5.2,8.6,32.8,15.5,8.6,29.3,58,,,,,
610,,Barratt's Warbler,Bradypterus barratti,6.3,15.2,24,20.9,17.7,15.8,158,,,,,
609,682,Little Rush-Warbler,Bradypterus baboecala,8.6,9.6,20.4,18.1,16.5,26.8,686,,,,,
608,690,Sedge Warbler,Acrocephalus schoenobaenus,17.6,22.5,34.1,13.2,10.4,2.2,182,,,,,
607,693,Marsh Warbler,Acrocephalus palustris,3.2,9.1,21,19,26.3,21.4,342,,,,,
606,691,African Reed-Warbler,Acrocephalus baeticatus,6.3,10.6,23.5,23.6,20.4,15.7,848,,,,,
604,696,Lesser Swamp-Warbler,Acrocephalus gracilirostris,10.4,11.4,21.8,18,15.7,22.6,1014,,,,,
603,694,Great Reed-Warbler,Acrocephalus arundinaceus,4.6,13.5,30,25.7,19.3,7,327,,,,,
602,766,Green-capped Eremomela,Eremomela scotops,12.7,14.1,32.4,18.3,16.9,5.6,71,,,,,
601,,Burnt-necked Eremomela,Eremomela usticollis,2.8,7.4,18.1,25.5,27.8,18.5,216,,,,,
600,764,Yellow-bellied Eremomela,Eremomela icteropygialis,8.1,16,24.7,21.4,17.2,12.6,831,,,,,
599,715,Willow Warbler,Phylloscopus trochilus,7.3,13.8,25.6,20.9,18,14.4,980,,,,,
597,700,Olive-tree Warbler,Hippolais olivetorum,1.4,11,13.7,28.8,34.3,11,73,,,,,
596,701,Icterine Warbler,Hippolais icterina,6.9,19.8,35.1,21.5,12.1,4.5,288,,,,,
595,707,Garden Warbler,Sylvia borin,9.6,20.1,27.6,25.1,14.2,3.3,239,,,,,
594,706,Common Whitethroat,Sylvia communis,6.9,14.7,33.3,30.4,11.8,2.9,102,,,,,
589,662,White-starred Robin,Pogonocichla stellata,7.3,19.3,29.3,18.7,15.3,10,150,,,,,
588,656,White-browed Scrub-Robin,Cercotrichas leucophrys,5.3,5.4,13.9,19.5,19.1,36.8,570,,,,,
586,,Kalahari Scrub-Robin,Cercotrichas paena,8.3,8.3,15.5,22.3,20.7,25,497,,,,,
585,659,Bearded Scrub-Robin,Cercotrichas quadrivirgata,7.5,4.3,18.3,11.8,28,30.1,93,,,,,
584,,Brown Scrub-Robin,Cercotrichas sig  ata,8.2,16.4,22.1,23,17.2,13.1,122,,,,,
583,,Karoo Scrub-Robin,Cercotrichas coryphoeus,7.4,12.1,21.4,21.1,19.7,18.4,679,,,,,
582,,White-throated Robin-Chat,Cossypha humeralis,14.9,13.3,24,19.6,16.3,11.9,362,,,,,
581,670,Cape Robin-Chat,Cossypha caffra,11.1,11.2,18.7,21.2,15.9,21.9,1217,,,,,
580,666,White-browed Robin-Chat,Cossypha heuglini,14.2,13.5,16.9,16.2,22.3,16.9,148,,,,,
579,669,Red-capped Robin-Chat,Cossypha natalensis,12.8,13.8,13.3,23.9,12.4,23.9,218,,,,,
578,,Chorister Robin-Chat,Cossypha dichroa,16.3,16.3,23.6,19.7,16.3,7.7,233,,,,,
576,634,African Stonechat,Saxicola torquat  s,11.8,13.1,18.9,18.5,14.2,23.5,1215,,,,,
575,653,Anteating Chat,Myrmecocichla formicivora,15.1,16.9,21.6,17.6,14.8,14.1,1103,,,,,
573,655,Mocking Cliff-Chat,Thamnolaea cinnamomeiventris,17.9,16.1,28,16.3,12.5,9.1,503,,,,,
572,,Sickle-winged Chat,Cercomela sinuata,10.3,13.8,29.5,25.1,15,6.3,494,,,,,
571,,Tractrac Chat,Cercomela tractrac,5.5,12.3,30.7,22.1,15.9,13.5,163,,,,,
570,648,Familiar Chat,Cercomela familiaris,10.4,11.9,21.4,22.4,17,16.9,1324,,,,,
569,,Buff-streaked Chat,Oenanthe bifasciata,14.6,14.2,27.5,16.3,12,15.4,233,,,,,
568,636,Capped Wheatear,Oenanthe pileata,6.2,14.2,22.1,24.1,17.5,15.9,755,,,,,
566,,Karoo Chat,Cercomela schlegelii,9.9,22.2,28.2,23.3,10.1,6.3,365,,,,,
564,,Mountain Wheatear,Oenanthe monticola,22.6,17.8,27.8,16.5,9.3,6,970,,,,,
561,,Short-toed Rock-Thrush,Monticola brevipes,5.7,16.7,26.8,19.3,22.4,9.2,228,,,,,
560,,Sentinel Rock-Thrush,Monticola explorator,11.4,24.5,36.2,18.5,6,3.4,298,,,,,
559,,Cape Rock-Thrush,Monticola rupestris,17.3,19.3,27.7,19.4,10.5,5.8,618,,,,,
557,,Groundscraper Thrush,Psophocichla litsipsirupa,23.3,16.6,20.5,15.4,10.8,13.4,566,,,,,
552,,Kurrichane Thrush,Turdus libonyanus,23.6,15,21.9,14.4,12.4,12.7,466,,,,,
551,619,Sombre Greenbul,Andropadus importunus,7.4,7.7,13.8,17.8,18,35.4,557,,,,,
550,621,Yellow-bellied Greenbul,Chlorocichla flaviventris,6.7,6.2,9.6,23.9,22.5,31.1,209,,,,,
546,627,Terrestrial Brownbul,Phyllastrephus terrestris,6.9,12.4,20.2,22.1,17.4,21,362,,,,,
545,609,Dark-capped Bulbul,Pycnonotus tricolor,11,7.1,15.3,23.4,19.2,24,672,,,,,
544,,African Red-eyed Bulbul,Pycnonotus nigricans,9,13.2,16.6,22.2,19.2,19.7,775,,,,,
543,,Cape Bulbul,Pycnonotus capensis,7.9,6.8,15.8,17.3,21.2,30.9,278,,,,,
542,,Bush Blackcap,Lioptilus nigricapillus,9.5,6.7,31.4,16.2,22.9,13.3,105,,,,,
540,,Cape Rock-jumper,Chaetops frenatus,22.9,20,28.6,11.4,8.6,8.6,70,,,,,
536,,Southern Pied Babbler,Turdoides bicolor,12.9,16.5,19.4,24.7,14.1,12.4,170,,,,,
533,601,Arrow-marked Babbler,Turdoides jardineii,12.7,12.4,20,14.3,20.8,19.8,379,,,,,
531,,Cape Penduline-Tit,Anthoscopus minutus,8.4,15.7,25.6,20.5,19.8,10.1,606,,,,,
530,586,Grey Penduline-Tit,Anthoscopus caroli,16.8,22,24.3,19.6,12.7,4.6,173,,,,,
527,,Southern Black Tit,Parus niger,18.6,10.9,19.3,18,16.9,16.2,549,,,,,
525,,Grey Tit,Parus afer,12.8,18.9,25.5,21.7,13.5,7.7,392,,,,,
